galaxy,group,rmax,n,chi2_1,chi2_2,bic_margin,dchi2,p0_in,a_in,p0_out,a_out,ratio,drop
UGC08699,winner,25.7,37,111.56490003771299,17.74526506329352,-86.59779914913102,93.81963497441947,8.490875940460906,1.877035005031902,6.884747523963054,15.12953554084703,8.060337447244299,1.6061284164978522
UGC08550,winner,5.36,11,8.47016996993105,3.05404733533464,-0.6203320889996675,5.41612263459641,8.291175668454066,0.8664880565815084,6.8337207910647155,5.023638142066196,5.797700388261076,1.4574548773893508
UGC12506,winner,49.99,31,21.004223962761742,2.869195443299186,-11.26705411049226,18.135028519462555,9.259279076866012,1.028230829344254,7.484196310979704,9.968821158365667,9.695119883463526,1.7750827658863075
UGC11914,winner,9.83,63,499.3676840260468,83.84578983988605,-407.2356247333777,415.52189418616075,9.906845797323346,0.47000000000000003,7.717590726947222,9.361999999999998,19.91914893617021,2.1892550703761238
UGC08490,winner,10.15,30,18.52699052620168,3.7305484917890133,-7.9940472710883554,14.796442034412665,8.791826588657644,0.6150035813338066,7.559548443927476,2.925332254321005,4.756610112703095,1.2322781447301683
UGC11455,winner,41.93,33,56.9088531564585,48.91877636976371,-0.9970616637618264,7.990076786694786,7.457712092218864,8.037835526877304,6.364145090808122,40.235391776343086,5.005749575467429,1.0935670014107428
UGC07524,forced,10.69,31,6.7584188276039,5.11714769898273,5.226703280349124,1.6412711286211703,7.785703966580454,0.4856339670537605,7.432615893120668,3.8914350293354683,8.013103063906318,0.35308807345978543
UGCA442,forced,6.33,8,3.680813406243204,1.934049623240618,2.4121193003570855,1.7467637830025862,7.752925322015096,0.42000000000000004,7.4217114637890855,3.155938608109405,7.51413954311763,0.33121385822601024
UGCA444,forced,2.62,36,7.400379242984356,2.006789261589557,1.773447895517421,5.393589981394799,8.223819356837254,0.26049840355571785,7.342386439156389,2.502024920177782,9.60476105045544,0.8814329176808648
UGC12632,forced,10.66,15,0.8544147562417425,0.7280645600920719,5.28975020605475,0.12635019614967058,7.651994717365157,2.613634453188317,5.827398720808249,10.257681722659408,3.9246810930833425,1.8245959965569076
UGC01281,winner,4.99,25,616.8157174346867,40.39947460829568,-569.9784911766545,576.416242826391,8.50536833940414,0.2881295172172557,7.529313703103512,2.449470134718874,8.501281501373988,0.9760546363006277
UGC03205,winner,40.04,46,333.49542408443557,64.80306471850075,-261.03507657295665,268.6923593659348,8.843646677126367,1.7147913780283375,6.558816560450634,26.163766557970447,15.25769658817242,2.2848301166757334
UGC09037,forced,27.96,19,8.510128569076796,8.510128754820608,5.88887814407669,-1.857438114427623e-07,6.650801759275789,20.967017803982138,2.685657453444782,21.31666691378303,1.0166761488481442,3.965144305831007
