Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,294000000.0,83.33399999999999,103537250428.39767,8.468347330412158,11.015096627522116,2.546749297109958
UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",265500000.0,90.85799999999999,134189786166.18343,8.424064525417489,11.127719460836872,2.703654935419383
UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2347500000.0,128.82,382454545665.91724,9.370605600938148,11.582579827098794,2.2119742261606454
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",1148000000.0,96.89999999999999,162780086074.8074,9.059941888061955,11.211601273791413,2.1516593857294577
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",494000000.0,93.708,147217673171.4916,8.693726948923647,11.167959949268685,2.4742330003450377
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62175000000.0,227.772,2114126394386.3047,10.793615793941974,12.325130948318424,1.53151515437645
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",698500000.0,95.53199999999998,155982742740.48978,8.844166410450201,11.193076552539363,2.348910142089162
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36703500000.0,250.11599999999999,2799331726950.808,10.564707480007137,12.447054366364611,1.8823468863574746
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",49128000000.0,282.83399999999995,4047853531168.9844,10.691329084374111,12.607224789465162,1.9158957050910512
UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",794000000.0,81.16799999999999,95671917319.82303,8.899820502427096,10.980784477559103,2.0809639751320077
